artist_name,country,city
Leonardo da Vinci,Italy,Florence
Leonardo da Vinci,Italy,Milan
Leonardo da Vinci,Italy,Venice
Leonardo da Vinci,Italy,Milan
Vincent van Gogh,France,Saint-RÃ©my-de-Provence
Vincent van Gogh,France,Arles
Vincent van Gogh,France,Arles
Vincent van Gogh,France,Saint-RÃ©my-de-Provence
Pablo Picasso,France,Paris
Pablo Picasso,France,Paris
Pablo Picasso,France,Paris
Pablo Picasso,France,Paris
Claude Monet,France,Le Havre
Claude Monet,France,Giverny
Claude Monet,France,Argenteuil
Claude Monet,France,Rouen
Michelangelo,Italy,Florence
Michelangelo,Vatican City,Vatican City
Michelangelo,Italy,Vatican City
Michelangelo,Vatican City,Vatican City
Rembrandt,Netherlands,Amsterdam
Rembrandt,Netherlands,The Hague
Rembrandt,Netherlands,Amsterdam
Rembrandt,Netherlands,London
Johannes Vermeer,Netherlands,The Hague
Johannes Vermeer,Netherlands,Amsterdam
Johannes Vermeer,Netherlands,Vienna
Johannes Vermeer,Netherlands,The Hague
Salvador DalÃ­,United States,New York
Salvador DalÃ­,United States,New York
Salvador DalÃ­,United States,New York
Salvador DalÃ­,United States,"Washington, D.C."
Henri Matisse,Russia,Saint Petersburg
Henri Matisse,France,Paris
Henri Matisse,France,Paris
Henri Matisse,France,Nice
Edvard Munch,Norway,Oslo
Edvard Munch,Norway,Oslo
Edvard Munch,Norway,Oslo
Edvard Munch,Norway,Oslo
Jackson Pollock,United States,New York
Jackson Pollock,United States,New York
Jackson Pollock,United States,New York
Jackson Pollock,United States,New York
Frida Kahlo,Mexico,Mexico City
Frida Kahlo,Mexico,Mexico City
Frida Kahlo,Mexico,Mexico City
Frida Kahlo,Mexico,Mexico City
Georgia O'Keeffe,United States,New York
Georgia O'Keeffe,United States,New York
Georgia O'Keeffe,United States,New York
Georgia O'Keeffe,United States,New Mexico
Andy Warhol,United States,New York
Andy Warhol,United States,New York
Andy Warhol,United States,New York
Andy Warhol,United States,New York
Wassily Kandinsky,Germany,Berlin
Wassily Kandinsky,Germany,Dessau
Wassily Kandinsky,Russia,Moscow
Wassily Kandinsky,Germany,Berlin
